sales_agent,account,deal_stage,engage_at,close_at,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG
Garret Kinder,Xx-zobam,Won,2017-03-08,2017-03-18,4291.0,1989.0,3838.39,8274.0,3393,10.0,Large,35.0,Established,1,3.0,1.0,Complex,0.6097560975609756,1607.9105691056911,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Hayden Neloms,Rantouch,Won,2017-03-08,2017-06-16,1039.0,1994.0,1188.42,3015.0,1096,100.0,Medium,30.0,Established,1,3.0,1.0,Intermediate,0.6445783132530121,1790.203947368421,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
Hayden Neloms,Xx-holding,Won,2017-03-08,2017-05-19,3151.0,1993.0,7537.24,20293.0,3393,72.0,Enterprise,31.0,Established,1,3.0,1.0,Complex,0.6445783132530121,1790.203947368421,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Jonathan Berthelot,Gogozoom,Won,2017-03-08,2017-03-24,590.0,2007.0,86.68,187.0,550,16.0,Small,17.0,Mature,1,3.0,1.0,Basic,0.5958188153310104,1079.1136363636363,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Jonathan Berthelot,Ron-tech,Won,2017-03-08,2017-03-18,3217.0,1992.0,3922.42,6837.0,3393,10.0,Large,32.0,Established,1,3.0,1.0,Complex,0.5958188153310104,1079.1136363636363,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Kami Bicknell,Zoomit,Won,2017-03-08,2017-03-11,597.0,1992.0,324.19,978.0,550,3.0,Small,32.0,Established,1,3.0,1.0,Basic,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Kary Hendrixson,Newex,Won,2017-03-08,2017-05-11,4918.0,1991.0,1012.72,3492.0,4821,64.0,Medium,33.0,Established,1,3.0,1.0,Complex,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
Kary Hendrixson,Scotfind,Won,2017-03-08,2017-03-19,5266.0,1996.0,6354.87,16780.0,4821,11.0,Enterprise,28.0,Established,1,3.0,1.0,Complex,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Lajuana Vencill,Finhigh,Lost,2017-03-08,2017-05-14,0.0,2006.0,1102.43,1759.0,3393,67.0,Medium,18.0,Mature,0,3.0,1.0,Complex,0.5,842.5627705627705,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Markita Hansen,Silis,Engaging,2017-03-08,,,1994.0,2818.38,6290.0,550,,Large,30.0,Established,0,3.0,1.0,Basic,0.5118110236220472,1448.4229074889868,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Markita Hansen,Singletechno,Lost,2017-03-08,2017-05-17,0.0,1996.0,2214.94,5374.0,550,70.0,Large,28.0,Established,0,3.0,1.0,Basic,0.5118110236220472,1448.4229074889868,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Markita Hansen,Blackzim,Won,2017-03-08,2017-05-07,61.0,2009.0,497.11,1588.0,55,60.0,Medium,15.0,Mature,1,3.0,1.0,Basic,0.5118110236220472,1448.4229074889868,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Markita Hansen,Faxquote,Won,2017-03-08,2017-05-31,3470.0,1995.0,1825.82,5595.0,3393,84.0,Large,29.0,Established,1,3.0,1.0,Complex,0.5118110236220472,1448.4229074889868,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Moses Frase,Betatech,Lost,2017-03-08,2017-06-26,0.0,1986.0,647.18,1185.0,550,110.0,Medium,38.0,Established,0,3.0,1.0,Basic,0.5972222222222222,1062.4717948717948,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
Rosalina Dieter,Newex,Won,2017-03-08,2017-05-28,48.0,1991.0,1012.72,3492.0,55,81.0,Medium,33.0,Established,1,3.0,1.0,Basic,0.5714285714285714,2140.0272727272727,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Rosie Papadopoulos,Acme Corporation,Won,2017-03-08,2017-06-22,61.0,1996.0,1100.04,2822.0,55,106.0,Medium,28.0,Established,1,3.0,1.0,Basic,0.5735294117647058,1902.2231404958677,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Vicki Laflamme,Blackzim,Lost,2017-03-08,2017-05-26,0.0,2009.0,497.11,1588.0,55,79.0,Medium,15.0,Mature,0,3.0,1.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Violet Mclelland,Silis,Lost,2017-03-08,2017-05-29,0.0,1994.0,2818.38,6290.0,550,82.0,Large,30.0,Established,0,3.0,1.0,Basic,0.5727699530516432,639.5388601036269,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
Zane Levy,Y-corporation,Lost,2017-03-08,2017-06-05,0.0,1983.0,2871.35,9561.0,550,89.0,Large,41.0,Established,0,3.0,1.0,Basic,0.5551724137931034,1647.7701149425288,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Zane Levy,Plusstrip,Lost,2017-03-08,2017-05-27,0.0,2002.0,349.81,315.0,1096,80.0,Small,22.0,Established,0,3.0,1.0,Intermediate,0.5551724137931034,1647.7701149425288,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
Anna Snelling,Inity,Lost,2017-03-09,2017-05-22,0.0,1986.0,2403.58,8801.0,550,74.0,Large,38.0,Established,0,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Anna Snelling,Hottechi,Lost,2017-03-09,2017-05-11,0.0,1997.0,8170.38,16499.0,5482,63.0,Enterprise,27.0,Established,0,3.0,1.0,Complex,0.5488126649076517,818.6190476190476,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
Anna Snelling,Streethex,Won,2017-03-09,2017-06-11,595.0,1988.0,1376.8,1165.0,550,94.0,Medium,36.0,Established,1,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
Anna Snelling,Zumgoity,Won,2017-03-09,2017-06-01,51.0,1984.0,441.08,1210.0,55,84.0,Medium,40.0,Established,1,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Boris Faz,Opentech,Lost,2017-03-09,2017-06-08,0.0,1994.0,355.23,853.0,55,91.0,Small,30.0,Established,0,3.0,1.0,Basic,0.5906432748538012,1710.0065359477123,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Cassey Cress,Kan-code,Won,2017-03-09,2017-05-25,4624.0,1982.0,11698.03,34288.0,4821,77.0,Enterprise,42.0,Established,1,3.0,1.0,Complex,0.5620689655172414,1726.0114942528735,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
Daniell Hammack,Mathtouch,Engaging,2017-03-09,,,1984.0,3027.46,9516.0,550,,Large,40.0,Established,0,3.0,1.0,Basic,0.5377358490566038,1947.7486631016043,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
Darcel Schlecht,Finhigh,Lost,2017-03-09,2017-05-15,0.0,2006.0,1102.43,1759.0,1096,67.0,Medium,18.0,Mature,0,3.0,1.0,Intermediate,0.5693311582381729,2085.3779385171792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Darcel Schlecht,Bioholding,Lost,2017-03-09,2017-05-28,0.0,2012.0,587.34,1356.0,55,80.0,Medium,12.0,Mature,0,3.0,1.0,Basic,0.5693311582381729,2085.3779385171792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Darcel Schlecht,Funholding,Won,2017-03-09,2017-06-17,571.0,1991.0,2819.5,7227.0,550,100.0,Large,33.0,Established,1,3.0,1.0,Basic,0.5693311582381729,2085.3779385171792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Elease Gluck,Lexiqvolax,Won,2017-03-09,2017-03-25,3333.0,2004.0,1618.89,3889.0,3393,16.0,Medium,20.0,Mature,1,3.0,1.0,Complex,0.5555555555555556,2295.1984126984125,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Gladys Colclough,Isdom,Won,2017-03-09,2017-05-16,4853.0,2002.0,3178.24,4540.0,5482,68.0,Medium,22.0,Established,1,3.0,1.0,Complex,0.5152671755725191,1489.9741379310344,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
Gladys Colclough,Toughzap,Won,2017-03-09,2017-06-08,51.0,1995.0,332.43,799.0,55,91.0,Small,29.0,Established,1,3.0,1.0,Basic,0.5152671755725191,1489.9741379310344,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
James Ascencio,Zotware,Engaging,2017-03-09,,,1979.0,4478.47,13809.0,55,,Enterprise,45.0,Established,0,3.0,1.0,Basic,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
James Ascencio,Cheers,Lost,2017-03-09,2017-05-23,0.0,1993.0,4269.9,6472.0,550,75.0,Large,31.0,Established,0,3.0,1.0,Basic,0.6053811659192825,2007.4417475728155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Kami Bicknell,Cheers,Won,2017-03-09,2017-06-17,5035.0,1993.0,4269.9,6472.0,4821,100.0,Large,31.0,Established,1,3.0,1.0,Complex,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Marty Freudenburg,Codehow,Won,2017-03-09,2017-06-01,51.0,1998.0,2714.9,2641.0,55,84.0,Medium,26.0,Established,1,3.0,1.0,Basic,0.5350877192982456,1501.0051546391753,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Maureen Marcano,Dalttechnology,Won,2017-03-09,2017-06-09,4342.0,2013.0,98.79,96.0,4821,92.0,Small,11.0,Mature,1,3.0,1.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Versie Hillebrand,Codehow,Lost,2017-03-09,2017-03-13,0.0,1998.0,2714.9,2641.0,3393,4.0,Medium,26.0,Established,0,3.0,1.0,Complex,0.6027397260273972,710.9583333333334,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Violet Mclelland,Vehement Capital Partners,Won,2017-03-09,2017-06-22,48.0,1993.0,646.1,883.0,55,105.0,Small,31.0,Established,1,3.0,1.0,Basic,0.5727699530516432,639.5388601036269,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Zane Levy,Kan-code,Won,2017-03-09,2017-05-18,5215.0,1982.0,11698.03,34288.0,5482,70.0,Enterprise,42.0,Established,1,3.0,1.0,Complex,0.5551724137931034,1647.7701149425288,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
Anna Snelling,Streethex,Lost,2017-03-10,2017-05-12,0.0,1988.0,1376.8,1165.0,1096,63.0,Medium,36.0,Established,0,3.0,1.0,Intermediate,0.5488126649076517,818.6190476190476,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
Anna Snelling,Gogozoom,Won,2017-03-10,2017-03-19,58.0,2007.0,86.68,187.0,55,9.0,Small,17.0,Mature,1,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Cecily Lampkin,Finhigh,Won,2017-03-10,2017-03-20,3587.0,2006.0,1102.43,1759.0,3393,10.0,Medium,18.0,Mature,1,3.0,1.0,Complex,0.6294117647058823,1436.25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Cecily Lampkin,Warephase,Won,2017-03-10,2017-05-29,2915.0,1997.0,2041.73,5276.0,3393,80.0,Large,27.0,Established,1,3.0,1.0,Complex,0.6294117647058823,1436.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Daniell Hammack,Konex,Won,2017-03-10,2017-06-28,4762.0,1980.0,7708.38,13756.0,4821,110.0,Enterprise,44.0,Established,1,3.0,1.0,Complex,0.5377358490566038,1947.7486631016043,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
Garret Kinder,Gekko & Co,Won,2017-03-10,2017-06-12,1062.0,1990.0,2520.83,3502.0,1096,94.0,Medium,34.0,Established,1,3.0,1.0,Intermediate,0.6097560975609756,1607.9105691056911,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
Gladys Colclough,Finhigh,Lost,2017-03-10,2017-05-10,0.0,2006.0,1102.43,1759.0,5482,61.0,Medium,18.0,Mature,0,3.0,1.0,Complex,0.5152671755725191,1489.9741379310344,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
Kary Hendrixson,Kan-code,Lost,2017-03-10,2017-05-30,0.0,1982.0,11698.03,34288.0,550,81.0,Enterprise,42.0,Established,0,3.0,1.0,Basic,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Maureen Marcano,Kan-code,Lost,2017-03-10,2017-03-20,0.0,1982.0,11698.03,34288.0,5482,10.0,Enterprise,42.0,Established,0,3.0,1.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
Rosie Papadopoulos,Inity,Engaging,2017-03-10,,,1986.0,2403.58,8801.0,55,,Large,38.0,Established,0,3.0,1.0,Basic,0.5735294117647058,1902.2231404958677,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Violet Mclelland,Massive Dynamic,Lost,2017-03-10,2017-05-29,0.0,1989.0,665.06,1095.0,55,80.0,Medium,35.0,Established,0,3.0,1.0,Basic,0.5727699530516432,639.5388601036269,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Violet Mclelland,Zencorporation,Won,2017-03-10,2017-06-28,1074.0,2011.0,40.79,142.0,1096,110.0,Small,13.0,Mature,1,3.0,1.0,Intermediate,0.5727699530516432,639.5388601036269,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
Zane Levy,Newex,Lost,2017-03-10,2017-05-05,0.0,1991.0,1012.72,3492.0,55,56.0,Medium,33.0,Established,0,3.0,1.0,Basic,0.5551724137931034,1647.7701149425288,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Anna Snelling,Inity,Lost,2017-03-11,2017-05-30,0.0,1986.0,2403.58,8801.0,55,80.0,Large,38.0,Established,0,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Anna Snelling,Scottech,Won,2017-03-11,2017-03-17,57.0,2012.0,45.39,100.0,55,6.0,Small,12.0,Mature,1,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Cassey Cress,Zotware,Won,2017-03-11,2017-05-22,586.0,1979.0,4478.47,13809.0,550,72.0,Enterprise,45.0,Established,1,3.0,1.0,Basic,0.5620689655172414,1726.0114942528735,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
Cecily Lampkin,Rundofase,Won,2017-03-11,2017-06-13,1184.0,1983.0,1008.06,1238.0,1096,94.0,Medium,41.0,Established,1,3.0,1.0,Intermediate,0.6294117647058823,1436.25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Donn Cantrell,Silis,Lost,2017-03-11,2017-05-19,0.0,1994.0,2818.38,6290.0,550,69.0,Large,30.0,Established,0,3.0,1.0,Basic,0.5745454545454546,1621.3090909090909,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
James Ascencio,Lexiqvolax,Lost,2017-03-11,2017-06-08,0.0,2004.0,1618.89,3889.0,1096,89.0,Medium,20.0,Mature,0,3.0,1.0,Intermediate,0.6053811659192825,2007.4417475728155,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
James Ascencio,J-Texon,Won,2017-03-11,2017-06-10,526.0,1989.0,1388.67,3583.0,550,91.0,Medium,35.0,Established,1,3.0,1.0,Basic,0.6053811659192825,2007.4417475728155,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
James Ascencio,Condax,Won,2017-03-11,2017-06-12,5344.0,2017.0,4.54,9.0,5482,93.0,Small,7.0,Young,1,3.0,1.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
James Ascencio,Konex,Won,2017-03-11,2017-05-22,4125.0,1980.0,7708.38,13756.0,4821,72.0,Enterprise,44.0,Established,1,3.0,1.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Kami Bicknell,Dalttechnology,Won,2017-03-11,2017-06-06,528.0,2013.0,98.79,96.0,550,87.0,Small,11.0,Mature,1,3.0,1.0,Basic,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Kami Bicknell,Singletechno,Won,2017-03-11,2017-03-26,3254.0,1996.0,2214.94,5374.0,3393,15.0,Large,28.0,Established,1,3.0,1.0,Complex,0.5780730897009967,1163.4411764705883,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Kary Hendrixson,Green-Plus,Lost,2017-03-11,2017-05-07,0.0,2003.0,692.19,1922.0,4821,57.0,Medium,21.0,Established,0,3.0,1.0,Complex,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Kary Hendrixson,J-Texon,Won,2017-03-11,2017-05-24,516.0,1989.0,1388.67,3583.0,550,74.0,Medium,35.0,Established,1,3.0,1.0,Basic,0.5618279569892473,1356.113432835821,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Kary Hendrixson,Y-corporation,Won,2017-03-11,2017-03-27,538.0,1983.0,2871.35,9561.0,550,16.0,Large,41.0,Established,1,3.0,1.0,Basic,0.5618279569892473,1356.113432835821,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Lajuana Vencill,Codehow,Won,2017-03-11,2017-06-17,459.0,1998.0,2714.9,2641.0,550,98.0,Medium,26.0,Established,1,3.0,1.0,Basic,0.5,842.5627705627705,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Maureen Marcano,Cheers,Lost,2017-03-11,2017-06-26,0.0,1993.0,4269.9,6472.0,550,107.0,Large,31.0,Established,0,3.0,1.0,Basic,0.6506550218340611,1645.0469483568074,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Maureen Marcano,Sunnamplex,Won,2017-03-11,2017-05-22,5137.0,2008.0,894.37,1593.0,4821,72.0,Medium,16.0,Mature,1,3.0,1.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
Moses Frase,Konmatfix,Won,2017-03-11,2017-06-04,3330.0,1985.0,375.43,1190.0,3393,85.0,Medium,39.0,Established,1,3.0,1.0,Complex,0.5972222222222222,1062.4717948717948,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Versie Hillebrand,Conecom,Won,2017-03-11,2017-05-10,589.0,2005.0,1520.66,1806.0,550,60.0,Medium,19.0,Mature,1,3.0,1.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Vicki Laflamme,Goodsilron,Won,2017-03-11,2017-03-30,45.0,2000.0,2952.73,5107.0,55,19.0,Large,24.0,Established,1,3.0,1.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Anna Snelling,Funholding,Lost,2017-03-12,2017-05-25,0.0,1991.0,2819.5,7227.0,55,74.0,Large,33.0,Established,0,3.0,1.0,Basic,0.5488126649076517,818.6190476190476,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Cassey Cress,Finjob,Engaging,2017-03-12,,,1988.0,2059.9,3644.0,550,,Medium,36.0,Established,0,3.0,1.0,Basic,0.5620689655172414,1726.0114942528735,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
Cassey Cress,Opentech,Won,2017-03-12,2017-06-11,5664.0,1994.0,355.23,853.0,5482,91.0,Small,30.0,Established,1,3.0,1.0,Complex,0.5620689655172414,1726.0114942528735,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
